id,n_sentences,input,answer
0,4,The documentary contrasted life in France with that in Brazil. Exports from Italy rose sharply while Poland reported a decline. The delegation travelled from Italy to Chile before the summit. The delegation travelled from India to China before the summit.,"{""Brazil"": 1, ""Chile"": 1, ""China"": 1, ""France"": 1, ""India"": 1, ""Italy"": 2, ""Poland"": 1}"
1,4,The documentary contrasted life in Norway with that in France. Exports from Norway rose sharply while Italy reported a decline. Exports from Greece rose sharply while Norway reported a decline. Greece and France signed a joint statement on trade.,"{""France"": 2, ""Greece"": 2, ""Italy"": 1, ""Norway"": 3}"
2,4,"After leaving Sweden, the group spent three weeks in Canada. Exports from Sweden rose sharply while Japan reported a decline. Researchers in Spain collaborated with a team based in Chile. Researchers in China collaborated with a team based in Germany.","{""Canada"": 1, ""Chile"": 1, ""China"": 1, ""Germany"": 1, ""Japan"": 1, ""Spain"": 1, ""Sweden"": 2}"
3,4,The delegation travelled from Egypt to Norway before the summit. Exports from Greece rose sharply while Egypt reported a decline. The delegation travelled from Japan to Egypt before the summit. Exports from Chile rose sharply while Greece reported a decline.,"{""Chile"": 1, ""Egypt"": 3, ""Greece"": 2, ""Japan"": 1, ""Norway"": 1}"
4,4,Exports from Peru rose sharply while China reported a decline. Exports from Spain rose sharply while France reported a decline. The delegation travelled from Argentina to China before the summit. The documentary contrasted life in Germany with that in Argentina.,"{""Argentina"": 2, ""China"": 2, ""France"": 1, ""Germany"": 1, ""Peru"": 1, ""Spain"": 1}"
5,4,The documentary contrasted life in Japan with that in Norway. Peru and Egypt signed a joint statement on trade. The delegation travelled from Greece to Kenya before the summit. Researchers in Peru collaborated with a team based in Egypt.,"{""Egypt"": 2, ""Greece"": 1, ""Japan"": 1, ""Kenya"": 1, ""Norway"": 1, ""Peru"": 2}"
6,4,"Researchers in India collaborated with a team based in Kenya. The documentary contrasted life in Mexico with that in Canada. Researchers in India collaborated with a team based in Argentina. After leaving Italy, the group spent three weeks in Japan.","{""Argentina"": 1, ""Canada"": 1, ""India"": 2, ""Italy"": 1, ""Japan"": 1, ""Kenya"": 1, ""Mexico"": 1}"
7,4,The delegation travelled from Spain to Brazil before the summit. Exports from Chile rose sharply while France reported a decline. The delegation travelled from Germany to Brazil before the summit. The delegation travelled from Argentina to Japan before the summit.,"{""Argentina"": 1, ""Brazil"": 2, ""Chile"": 1, ""France"": 1, ""Germany"": 1, ""Japan"": 1, ""Spain"": 1}"
8,4,Researchers in Peru collaborated with a team based in Germany. The documentary contrasted life in Peru with that in Australia. Researchers in Brazil collaborated with a team based in Argentina. Exports from Brazil rose sharply while Australia reported a decline.,"{""Argentina"": 1, ""Australia"": 2, ""Brazil"": 2, ""Germany"": 1, ""Peru"": 2}"
9,4,Researchers in China collaborated with a team based in Japan. Kenya and Peru signed a joint statement on trade. Researchers in Norway collaborated with a team based in Brazil. Researchers in China collaborated with a team based in Egypt.,"{""Brazil"": 1, ""China"": 2, ""Egypt"": 1, ""Japan"": 1, ""Kenya"": 1, ""Norway"": 1, ""Peru"": 1}"
10,4,"Researchers in Kenya collaborated with a team based in Spain. After leaving China, the group spent three weeks in Chile. After leaving Peru, the group spent three weeks in Japan. The delegation travelled from India to Kenya before the summit.","{""Chile"": 1, ""China"": 1, ""India"": 1, ""Japan"": 1, ""Kenya"": 2, ""Peru"": 1, ""Spain"": 1}"
11,4,"Researchers in India collaborated with a team based in Spain. After leaving Norway, the group spent three weeks in Kenya. After leaving Poland, the group spent three weeks in Chile. The delegation travelled from Spain to Italy before the summit.","{""Chile"": 1, ""India"": 1, ""Italy"": 1, ""Kenya"": 1, ""Norway"": 1, ""Poland"": 1, ""Spain"": 2}"
